"","x","y"
"1",-1893434400,92228531
"2",-1577901600,106021568
"3",-1262282400,123202660
"4",-946749600,132165129
"5",-631130400,151325798
"6",-315597600,179323175
"7",21600,203211926
"8",315554400,226545805
"9",631173600,248709873
"10",946706400,281421906
"11",1262325600,308745538
